Category,Kana,Kanji,English,Romaji
People,にんげん,人間,human,ningen
People,じんるい,人類,humanity,jinrui
People,ひと,人,person,hito
People,おとこ,男,male,otoko
People,おとこのひと,男の人,man,otokonohito
People,おとこのこ,男の子,boy,otokonoko
People,おんな,女,female,onna
People,おんなのひと,女の人,woman,onnanohito
People,おんなのこ,女の子,girl,onnanoko
People,あかちゃん,赤ちゃん,baby,akachan
People,わかもの,若者,youth,wakamono
People,わたし,私,"I, myself",watashi
People,わたくし,私,"I, myself",watakushi
People,ぼく,僕,"I, myself",boku
People,おれ,俺,"I, myself",ore
People,あたし,私,"I, myself",atashi
People,しょうじょ,少女,girl,shoujo
People,しょうねん,少年,boy,shounen
People,いしゃ,医者,doctor,isha
People,かんごし,看護師,nurse,kangoshi
People,かんごふ,看護婦,female nurse,kangofu
People,はいしゃ,歯医者,dentist,ha-isha
People,しかい,歯科医,dentist,shikai
People,せいじか,政治家,politician,seijika
People,べんごし,弁護士,lawyer,bengoshi
People,しょうぼうし,消防士,firefighter,shouboushi
People,けいさつかん,警察官,police officer,keisatsukan
People,へいし,兵士,soldier,heishi
People,けんちくか,建築家,architect,kenchikuka
People,せんせい,先生,teacher,sensei
People,きょうし,教師,academic teacher,kyoushi
People,かしゅ,歌手,singer,kashu
People,エンジニア,,engineer,enjinia
Body,あし,足,leg,ashi
Body,かかと,踵,heel,kakato
Body,すね,脛,shin,sune
Body,ひざ,膝,knee,hiza
Body,もも,腿,thigh,momo
Body,あたま,頭,head,atama
Body,かお,顔,face,kao
Body,くち,口,mouth,kuchi
Body,くちびる,唇,lips,kuchibiru
Body,は,歯,tooth,ha
Body,はな,鼻,nose,hana
Body,め,目,eye,me
Body,ひげ,髭,moustache,hige
Body,かみ,髪,hair,kami
Body,みみ,耳,ear,mimi
Body,い,胃,stomach,i
Body,うで,腕,arm,ude
Body,ひじ,肘,elbow,hiji
Body,かた,肩,shoulder,kata
Body,つめ,爪,nail,tsume
Body,て,手,hand,te
Body,てくび,手首,wrist,tekubi
Body,てのひら,掌,palm,te-no-hira
Body,ゆび,指,finger,yubi
Body,しり,尻,buttocks,shiri
Body,おなか,お腹,abdomen,o-naka
Body,はら,腹,abdomen,hara
Body,かんぞう,肝臓,liver,kanzou
Body,きも,肝,liver,kimo
Body,きんにく,筋肉,muscle,kinniku
Body,くび,首,neck,kubi
Body,こころ,心,heart,kokoro
Body,こし,腰,waist,koshi
Body,しんぞう,心臓,heart,shinzou
Body,せなか,背中,back,senaka
Body,ち,血,blood,chi
Body,にく,肉,meat,niku
Body,はだ,肌,skin,hada
Body,ひふ,皮膚,skin,hifu
Body,ほね,骨,bone,hone
Body,むね,胸,chest,mune
Body,かぜ,風邪,cold,kaze
Body,げり,下痢,diarrhea,geri
Body,びょうき,病気,illness,byouki
Family,かぞく,家族,family,kazoku
Family,りょうしん,両親,parents,ryoushin
Family,こども,子供,child,kodomo
Family,ちち,父,father,chichi
Family,はは,母,mother,haha
Family,つま,妻,wife,tsuma
Family,おっと,夫,husband,otto
Family,あに,兄,older brother,ani
Family,あね,姉,older sister,ane
Family,おとうと,弟,younger brother,otouto
Family,いもうと,妹,younger sister,imouto
Family,きょうだい,兄弟,siblings,kyoudai
Family,しまい,姉妹,sisters,shimai
Family,そふ,祖父,grandfather,sofu
Family,そぼ,祖母,grandmother,sobo
Family,まご,孫,grandchild,mago
Family,おじ,伯父,uncle,oji
Family,おば,伯母,aunt,oba
Family,いとこ,従兄弟,cousin (male),itoko
Family,いとこ,従姉妹,cousin (female),itoko
Family,めい,姪,niece,mei
Family,おい,甥,nephew,oi
Life,いきもの,生き物,living creatures,ikimono
