_key,strokes,grade,freq,jlpt_old,jlpt_new,meanings/0,meanings/1,readings_on/0,readings_on/1,readings_kun/0,readings_kun/1,wk_level,wk_meanings/0,wk_readings_on/0,wk_readings_on/1,wk_readings_kun/0,wk_radicals/0,readings_kun/2,wk_readings_kun/1,readings_kun/3,readings_kun/4,readings_kun/5,meanings/2,meanings/3,meanings/4,meanings/5,readings_on/2,wk_meanings/1,wk_radicals/1,readings_kun/6,readings_kun/7,readings_kun/8,readings_kun/9,readings_kun/10,readings_kun/11,readings_kun/12,readings_kun/13,readings_kun/14,wk_meanings/2,wk_readings_kun/2,wk_readings_kun/3,wk_readings_kun/4,wk_meanings/3,readings_on/3,readings_on/4,meanings/6,meanings/7,meanings/8,meanings/9,meanings/10,meanings/11,meanings/12,wk_readings_on/2,wk_radicals/2,wk_radicals/3,wk_meanings/4,readings_kun/15,readings_kun/16,readings_kun/17,meanings/13,wk_radicals/4,wk_readings_kun/5,readings_on/5,readings_on/6
一,1,1,2,4,5,One,One Radical (no.1),いち,いつ,ひと-,ひと.つ,1,One,いち,いつ,!ひと,Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二,2,1,9,4,5,Two,Two Radical (no. 7),に,じ,ふた,ふた.つ,1,Two,に,,!ふた,Two,ふたたび,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九,2,1,55,4,5,Nine,,きゅう,く,ここの,ここの.つ,1,Nine,く,きゅう,!ここの,Nine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七,2,1,115,4,5,Seven,,しち,,なな,なな.つ,1,Seven,しち,,!なな,Seven,なの,!なの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人,2,1,5,4,5,Person,,じん,にん,ひと,-り,1,Person,にん,じん,!ひと,Person,-と,!と,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入,2,1,56,4,5,Enter,Insert,にゅう,じゅ,い.る,-い.る,1,Enter,にゅう,,!はい,Enter,-い.り,!い,い.れる,-い.れ,はい.る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八,2,1,92,4,5,Eight,Eight Radical (no. 12),はち,,や,や.つ,1,Eight,はち,,!や,Fins,やっ.つ,!よう,よう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
力,2,1,62,3,4,Power,Strength,りょく,りき,ちから,,1,Power,りょく,りき,!ちから,Power,,,,,,Strong,Strain,Bear Up,Exert,りい,^Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十,2,1,8,4,5,Ten,,じゅう,じっ,とお,と,1,Ten,じゅう,,!とお,Cross,,,,,,,,,,じゅっ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三,3,1,14,4,5,Three,,さん,ぞう,み,み.つ,1,Three,さん,,!み,Ground,みっ.つ,,,,,,,,,,,Two,,,,,,,
